step_length,mode,effective_status,beauty_hash,hash_matches_off,changed_pixels,changed_bbox,band_pixels,band_percent,boundary_mean,selection_flip_mean,step_sensitivity_mean,precision_required_mean,sconv_confidence_mean,probe_dist_delta_mean,probe_normal_delta_mean,probe_collider_mismatch_mean,band_vs_boundary_precision,band_vs_boundary_iou,band_vs_selection_flip_precision,band_vs_selection_flip_iou,band_vs_step_sensitivity_precision,band_vs_step_sensitivity_iou,band_vs_precision_required_precision,band_vs_precision_required_iou,band_vs_probe_dist_delta_precision,band_vs_probe_dist_delta_iou,band_vs_probe_collider_mismatch_precision,band_vs_probe_collider_mismatch_iou
0.00625,off,0,477ede1af284b58fe34fa12260bfda0b2b644752ac2e05f4437a9ba448669a49,true,0,none,15382,26.7050,,,,,,,,,,,,,,,,,,,,
0.00625,telemetry_on,0,87a3468f542a166774727a87041fa672d96c805d0ea142818e76377b980ee144,false,2432,"(0, 2, 319, 173)",15582,27.0520,0.1507,0.2158,,,,,,,0.1090,0.0646,0.1090,0.0646,,,,,,,,
0.00625,sconv_on,0,3e8b769b8b1ca83df78d635613956439960d21805f548aa51e9b3a0e2545ccfd,false,20288,"(0, 0, 319, 177)",11772,20.4380,0.0069,0.0099,0.0049,0.0049,0.0961,0.0049,0.0000,0.0049,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486,0.0486
0.00625,resolver_on,0,e8205034209eb2efa8ad2ad38577baa645d46b2d53fc1aeaaf1ca765b0f70449,false,2176,"(0, 2, 319, 177)",16790,29.1490,0.1516,0.2172,,,,,,,0.1017,0.0619,0.1017,0.0619,,,,,,,,
0.0125,off,0,35bc65d1a939b0eea0f22d8f1950bab1ce07419842ba399b9e4fc2a7cbef1702,true,0,none,12714,22.0730,,,,,,,,,,,,,,,,,,,,
0.0125,telemetry_on,0,8c2d56a4379b13eda4b698988099b112ffbc642794301c24f2f3590a207b5708,false,1280,"(96, 30, 319, 179)",13092,22.7290,0.2804,0.4017,,,,,,,0.1745,0.0673,0.1745,0.0673,,,,,,,,
0.0125,sconv_on,0,8684ec0e1a7808c90af9e70ed1ea56b74c34ca854d15ba2d542ad98ca1ec5cef,false,35328,"(0, 0, 319, 179)",15484,26.8820,0.0248,0.0356,0.0177,0.0177,0.1155,0.0177,0.0000,0.0177,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323,0.1323
0.0125,resolver_on,0,ec6326c776bd91562a71c89ad9545f81c2f8df34ae7cad1e27ddfaae4e7c3bff,false,6528,"(64, 26, 319, 179)",16306,28.3090,0.2141,0.3067,,,,,,,0.1540,0.0798,0.1540,0.0798,,,,,,,,
0.025,off,0,1dfcc04dc8ac689512ec5aed9074287635c1c18099ed2c28b33a9d4305d31707,true,0,none,196,0.3400,,,,,,,,,,,,,,,,,,,,
0.025,telemetry_on,0,0a1257ca630ae70c074383742944a1f01def924cc69f366eae91f8a317edf9dd,false,128,"(0, 4, 319, 7)",196,0.3400,0.3056,0.4378,,,,,,,0.6531,0.0051,0.6531,0.0051,,,,,,,,
0.025,sconv_on,0,1f137fb4ca8ab8353b01a3ecd3b480144fafdeb1527c4acedc92c5537aba5a8c,false,35840,"(0, 0, 319, 179)",11524,20.0070,0.1055,0.1511,0.0753,0.0753,0.2030,0.0753,0.0000,0.0753,0.1439,0.0893,0.1439,0.0893,0.1439,0.0893,0.1439,0.0893,0.1439,0.0893,0.1439,0.0893
0.025,resolver_on,0,022a98fad8ce6286965cc069f75dcd59c94fd04e7568e27f3710039895a9d6c0,false,192,"(0, 4, 319, 7)",260,0.4510,0.3056,0.4378,,,,,,,0.4923,0.0050,0.4923,0.0050,,,,,,,,
