frame_index,render_time,field_tick_index,phase,electron_count,atomic_preset,orbital_radius,curvature_strength,modulation_depth,hit_pixels,miss_pixels,budget_exhausted_pixels,mean_steps_per_pixel,max_steps_per_pixel,mean_density_sampled,max_density_sampled,mean_curvature_magnitude,max_curvature_magnitude
0,0.361,1,1.570796,1,hydrogen,3.5,0.002,0.1,120,0,0,0,0,0.147965,1,0,0
1,0.639,1,1.570796,1,hydrogen,3.5,0.002,0.1,240,0,0,0,0,0.147965,1,0,0
2,0.818,1,1.570796,1,hydrogen,3.5,0.002,0.1,360,0,0,0,0,0.147965,1,0,0
3,0.992,1,1.570796,1,hydrogen,3.5,0.002,0.1,480,0,0,0,0,0.147965,1,0,0
