node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
1,geometry:25836914057:centroid,geometry:25836914057,2,152,82,-1,-1,-1.0,0.0,,-1.0,-1.0,-8,-8,2.253298,2.251343,0.003125,threshold_snap,yes,yes,yes
2,geometry:25836914057:centroid,geometry:25836914057,2,152,98,-1,-1,-1.0,0.0,,-1.0,-1.0,-8,8,2.25328,2.252301,0.003125,threshold_snap,yes,yes,yes
3,geometry:25836914057:centroid,geometry:25836914057,2,152,90,-1,-1,-1.0,0.0,,-1.0,-1.0,-8,0,2.25136,2.25136,0.003125,threshold_snap,no,yes,yes
4,geometry:25836914057:centroid,geometry:25836914057,2,156,90,-1,-1,-1.0,0.0,,-1.0,-1.0,-4,0,2.250943,2.249386,0.003125,threshold_snap,no,yes,yes
5,geometry:25836914057:centroid,geometry:25836914057,2,156,86,-1,-1,-1.0,0.0,,-1.0,-1.0,-4,-4,2.250941,2.249375,0.003125,threshold_snap,no,yes,yes
6,geometry:25836914057:centroid,geometry:25836914057,2,156,94,-1,-1,-1.0,0.0,,-1.0,-1.0,-4,4,2.250939,2.249389,0.003125,threshold_snap,no,yes,yes
7,geometry:25836914057:centroid,geometry:25836914057,2,160,90,-1,-1,-1.0,0.0,,-1.0,-1.0,0,0,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
8,geometry:25836914057:centroid,geometry:25836914057,2,159,90,-1,-1,-1.0,0.0,,-1.0,-1.0,-1,0,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
9,geometry:25836914057:centroid,geometry:25836914057,2,160,89,-1,-1,-1.0,0.0,,-1.0,-1.0,0,-1,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
10,geometry:25836914057:centroid,geometry:25836914057,2,159,89,-1,-1,-1.0,0.0,,-1.0,-1.0,-1,-1,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
11,geometry:25836914057:centroid,geometry:25836914057,2,158,90,-1,-1,-1.0,0.0,,-1.0,-1.0,-2,0,2.249394,2.248415,0.003125,threshold_snap,no,yes,yes
12,geometry:25836914057:centroid,geometry:25836914057,2,160,94,-1,-1,-1.0,0.0,,-1.0,-1.0,0,4,2.249392,2.248427,0.003125,threshold_snap,no,yes,yes
13,geometry:25836914057:centroid,geometry:25836914057,2,160,98,-1,-1,-1.0,0.0,,-1.0,-1.0,0,8,2.249392,2.248427,0.003125,threshold_snap,no,yes,yes
14,geometry:25836914057:centroid,geometry:25836914057,2,160,91,-1,-1,-1.0,0.0,,-1.0,-1.0,0,1,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
15,geometry:25836914057:centroid,geometry:25836914057,2,159,91,-1,-1,-1.0,0.0,,-1.0,-1.0,-1,1,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
16,geometry:25836914057:centroid,geometry:25836914057,2,160,88,-1,-1,-1.0,0.0,,-1.0,-1.0,0,-2,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
17,geometry:25836914057:centroid,geometry:25836914057,2,160,86,-1,-1,-1.0,0.0,,-1.0,-1.0,0,-4,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
18,geometry:25836914057:centroid,geometry:25836914057,2,158,88,-1,-1,-1.0,0.0,,-1.0,-1.0,-2,-2,2.249387,2.248413,0.003125,threshold_snap,no,yes,yes
19,geometry:25836914057:centroid,geometry:25836914057,2,160,92,-1,-1,-1.0,0.0,,-1.0,-1.0,0,2,2.249375,2.248397,0.003125,threshold_snap,no,yes,yes
20,geometry:25836914057:centroid,geometry:25836914057,2,160,82,-1,-1,-1.0,0.0,,-1.0,-1.0,0,-8,2.249375,2.24841,0.003125,threshold_snap,no,yes,yes
21,geometry:25836914057:centroid,geometry:25836914057,2,158,92,-1,-1,-1.0,0.0,,-1.0,-1.0,-2,2,2.249373,2.249372,0.003125,threshold_snap,no,yes,yes
22,geometry:25836914057:centroid,geometry:25836914057,2,162,92,-1,-1,-1.0,0.0,,-1.0,-1.0,2,2,2.248623,2.247455,0.003125,threshold_snap,no,yes,yes
23,geometry:25836914057:centroid,geometry:25836914057,2,164,86,-1,-1,-1.0,0.0,,-1.0,-1.0,4,-4,2.248621,2.246479,0.003125,threshold_snap,no,yes,yes
24,geometry:25836914057:centroid,geometry:25836914057,2,161,90,-1,-1,-1.0,0.0,,-1.0,-1.0,1,0,2.248616,2.247439,0.003125,threshold_snap,no,yes,yes
25,geometry:25836914057:centroid,geometry:25836914057,2,161,89,-1,-1,-1.0,0.0,,-1.0,-1.0,1,-1,2.248616,2.247439,0.003125,threshold_snap,no,yes,yes
26,geometry:25836914057:centroid,geometry:25836914057,2,162,90,-1,-1,-1.0,0.0,,-1.0,-1.0,2,0,2.248612,2.247438,0.003125,threshold_snap,no,yes,yes
27,geometry:25836914057:centroid,geometry:25836914057,2,161,91,-1,-1,-1.0,0.0,,-1.0,-1.0,1,1,2.2486,2.247437,0.003125,threshold_snap,no,yes,yes
28,geometry:25836914057:centroid,geometry:25836914057,2,162,88,-1,-1,-1.0,0.0,,-1.0,-1.0,2,-2,2.2486,2.247433,0.003125,threshold_snap,no,yes,yes
29,geometry:25836914057:centroid,geometry:25836914057,2,164,94,-1,-1,-1.0,0.0,,-1.0,-1.0,4,4,2.248597,2.246447,0.003125,threshold_snap,no,yes,yes
30,geometry:25836914057:centroid,geometry:25836914057,2,164,90,-1,-1,-1.0,0.0,,-1.0,-1.0,4,0,2.247421,2.246444,0.003125,threshold_snap,no,yes,yes
31,geometry:25836914057:centroid,geometry:25836914057,2,168,98,-1,-1,-1.0,0.0,,-1.0,-1.0,8,8,2.246276,2.245486,0.003125,threshold_snap,no,yes,yes
32,geometry:25836914057:centroid,geometry:25836914057,2,168,90,-1,-1,-1.0,0.0,,-1.0,-1.0,8,0,2.246266,2.245486,0.003125,threshold_snap,no,yes,yes
33,geometry:25836914057:centroid,geometry:25836914057,2,168,82,-1,-1,-1.0,0.0,,-1.0,-1.0,8,-8,2.246256,2.245469,0.003125,threshold_snap,no,yes,yes
