region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
1,1,geometry:25836914057,152,82,-1,-1,2.253298,22.627417,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
2,2,geometry:25836914057,152,98,-1,-1,2.253298,22.627417,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
3,3,geometry:25836914057,152,90,-1,-1,2.253298,17.888544,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
4,4,geometry:25836914057,156,90,-1,-1,2.253298,14.422205,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
5,5,geometry:25836914057,156,86,-1,-1,2.253298,16.970563,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
6,6,geometry:25836914057,156,94,-1,-1,2.253298,16.970563,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
7,7,geometry:25836914057,160,90,-1,-1,2.253298,11.313708,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
8,8,geometry:25836914057,159,90,-1,-1,2.253298,12.041595,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
9,9,geometry:25836914057,160,89,-1,-1,2.253298,12.041595,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
10,10,geometry:25836914057,159,89,-1,-1,2.253298,12.727922,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
11,11,geometry:25836914057,158,90,-1,-1,2.253298,12.806248,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
12,12,geometry:25836914057,160,94,-1,-1,2.253298,14.422205,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
13,13,geometry:25836914057,160,98,-1,-1,2.253298,17.888544,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
14,14,geometry:25836914057,160,91,-1,-1,2.253298,12.041595,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
15,15,geometry:25836914057,159,91,-1,-1,2.253298,12.727922,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
16,16,geometry:25836914057,160,88,-1,-1,2.253298,12.806248,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
17,17,geometry:25836914057,160,86,-1,-1,2.253298,14.422205,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
18,18,geometry:25836914057,158,88,-1,-1,2.253298,14.142136,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
19,19,geometry:25836914057,160,92,-1,-1,2.253298,12.806248,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
20,20,geometry:25836914057,160,82,-1,-1,2.253298,17.888544,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
21,21,geometry:25836914057,158,92,-1,-1,2.253298,14.142136,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
22,22,geometry:25836914057,162,92,-1,-1,2.253298,14.142136,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
23,23,geometry:25836914057,164,86,-1,-1,2.253298,16.970563,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
24,24,geometry:25836914057,161,90,-1,-1,2.253298,12.041595,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
25,25,geometry:25836914057,161,89,-1,-1,2.253298,12.727922,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
26,26,geometry:25836914057,162,90,-1,-1,2.253298,12.806248,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
27,27,geometry:25836914057,161,91,-1,-1,2.253298,12.727922,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
28,28,geometry:25836914057,162,88,-1,-1,2.253298,14.142136,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
29,29,geometry:25836914057,164,94,-1,-1,2.253298,16.970563,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
30,30,geometry:25836914057,164,90,-1,-1,2.253298,14.422205,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
31,31,geometry:25836914057,168,98,-1,-1,2.253298,22.627417,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
32,32,geometry:25836914057,168,90,-1,-1,2.253298,17.888544,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
33,33,geometry:25836914057,168,82,-1,-1,2.253298,22.627417,,0.003125,threshold_snap:33,UNSEALED_NONCONVERGENT,33,33,0,no
