x,y
38,32
38,33
38,34
38,35
38,36
39,32
39,33
39,34
39,35
39,36
40,32
40,33
40,34
40,35
40,36
41,32
41,33
41,34
41,35
41,36
42,32
42,33
42,34
42,35
42,36
