region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
44,44,geometry:25836914057,138,100,160,90,2.270861,27.856777,,0.003125,threshold_snap:212,UNSEALED_NONCONVERGENT,212,212,0,no
45,45,geometry:25836914057,144,110,160,90,2.270861,28,,0.003125,threshold_snap:183,UNSEALED_NONCONVERGENT,183,183,0,no
46,46,geometry:25836914057,138,80,160,90,2.269688,27.856777,,0.003125,threshold_snap:212,UNSEALED_NONCONVERGENT,212,212,0,no
47,47,geometry:25836914057,136,98,160,90,2.270861,27.856777,,0.003125,threshold_snap:207,UNSEALED_NONCONVERGENT,207,207,0,no
48,48,geometry:25836914057,136,98,160,90,2.270861,27.856777,,0.003125,threshold_snap:207,UNSEALED_NONCONVERGENT,207,207,0,no
49,49,geometry:25836914057,136,98,160,90,2.270861,27.856777,,0.003125,threshold_snap:207,UNSEALED_NONCONVERGENT,207,207,0,no
50,50,geometry:25836914057,136,98,160,90,2.270861,27.856777,,0.003125,threshold_snap:207,UNSEALED_NONCONVERGENT,207,207,0,no
51,51,geometry:25836914057,141,103,160,90,2.270861,27.784888,,0.003125,threshold_snap:210,UNSEALED_NONCONVERGENT,210,210,0,no
52,52,geometry:25836914057,140,78,160,90,2.269688,28,,0.003125,threshold_snap:203,UNSEALED_NONCONVERGENT,203,203,0,no
53,53,geometry:25836914057,160,122,160,90,2.267361,31,,0.003125,threshold_snap:87,UNSEALED_NONCONVERGENT,87,87,0,no
54,54,geometry:25836914057,160,122,160,90,2.267361,31,,0.003125,threshold_snap:87,UNSEALED_NONCONVERGENT,87,87,0,no
55,55,geometry:25836914057,141,77,160,90,2.269688,27.784888,,0.003125,threshold_snap:210,UNSEALED_NONCONVERGENT,210,210,0,no
56,56,geometry:25836914057,144,70,160,90,2.269688,28,,0.003125,threshold_snap:183,UNSEALED_NONCONVERGENT,183,183,0,no
57,57,geometry:25836914057,140,102,160,90,2.270861,28,,0.003125,threshold_snap:203,UNSEALED_NONCONVERGENT,203,203,0,no
58,58,geometry:25836914057,141,87,160,90,2.265025,27.784888,,0.003125,threshold_snap:246,UNSEALED_NONCONVERGENT,246,246,0,no
59,59,geometry:25836914057,150,68,160,90,2.269688,27.856777,,0.003125,threshold_snap:181,UNSEALED_NONCONVERGENT,181,181,0,no
60,60,geometry:25836914057,147,109,160,90,2.270861,27.784888,,0.003125,threshold_snap:195,UNSEALED_NONCONVERGENT,195,195,0,no
61,61,geometry:25836914057,150,112,160,90,2.270861,27.856777,,0.003125,threshold_snap:181,UNSEALED_NONCONVERGENT,181,181,0,no
62,62,geometry:25836914057,148,110,160,90,2.270861,28,,0.003125,threshold_snap:180,UNSEALED_NONCONVERGENT,180,180,0,no
63,63,geometry:25836914057,152,114,160,90,2.270861,28,,0.003125,threshold_snap:166,UNSEALED_NONCONVERGENT,166,166,0,no
64,64,geometry:25836914057,152,114,160,90,2.270861,28,,0.003125,threshold_snap:166,UNSEALED_NONCONVERGENT,166,166,0,no
65,65,geometry:25836914057,152,114,160,90,2.270861,28,,0.003125,threshold_snap:166,UNSEALED_NONCONVERGENT,166,166,0,no
66,66,geometry:25836914057,160,58,160,90,2.265024,31,,0.003125,threshold_snap:87,UNSEALED_NONCONVERGENT,87,87,0,no
67,67,geometry:25836914057,160,58,160,90,2.265024,31,,0.003125,threshold_snap:87,UNSEALED_NONCONVERGENT,87,87,0,no
68,68,geometry:25836914057,155,63,160,90,2.269688,27.892651,,0.003125,threshold_snap:142,UNSEALED_NONCONVERGENT,142,142,0,no
69,69,geometry:25836914057,144,102,160,90,2.270861,28,,0.003125,threshold_snap:226,UNSEALED_NONCONVERGENT,226,226,0,no
70,70,geometry:25836914057,140,94,160,90,2.270861,30.463092,,0.003125,threshold_snap:231,UNSEALED_NONCONVERGENT,231,231,0,no
71,71,geometry:25836914057,144,106,160,90,2.270861,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
72,72,geometry:25836914057,144,106,160,90,2.270861,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
73,73,geometry:25836914057,144,106,160,90,2.270861,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
74,74,geometry:25836914057,144,106,160,90,2.270861,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
75,75,geometry:25836914057,144,106,160,90,2.270861,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
76,76,geometry:25836914057,152,66,160,90,2.269688,28,,0.003125,threshold_snap:166,UNSEALED_NONCONVERGENT,166,166,0,no
77,77,geometry:25836914057,152,66,160,90,2.269688,28,,0.003125,threshold_snap:166,UNSEALED_NONCONVERGENT,166,166,0,no
78,78,geometry:25836914057,152,66,160,90,2.269688,28,,0.003125,threshold_snap:166,UNSEALED_NONCONVERGENT,166,166,0,no
79,79,geometry:25836914057,144,74,160,90,2.269688,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
80,80,geometry:25836914057,144,74,160,90,2.269688,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
