edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
1,0,1,388,2.350314,2.3855,388,0,1.751568,1.927501,159.5,319.0,0.0,0.0
2,0,2,394,2.992696,3.0,394,0,5.482732,13.642954,501.248731,700.0,0.0,0.0
3,0,3,394,2.992692,3.0,394,0,5.490142,13.669071,500.756345,700.0,0.0,0.0
4,0,4,387,2.9927,3.0,387,0,5.501066,13.693538,503.596899,700.0,0.0,0.0
5,0,5,7,0.0,0.0,7,0,,,316.0,316.0,0.0,0.0
6,0,6,171,2.983509,3.0,171,0,5.514227,13.716321,499.087719,700.0,0.0,0.0
7,0,7,52,3.0,3.0,52,0,,,508.0,700.0,0.0,0.0
8,0,8,171,3.0,3.0,171,0,5.514227,13.716321,499.087719,700.0,0.0,0.0
9,0,9,171,2.983549,3.0,171,0,5.527106,13.737444,498.596491,700.0,0.0,0.0
10,0,10,52,3.0,3.0,52,0,,,507.5,700.0,0.0,0.0
11,0,11,171,3.0,3.0,171,0,5.527106,13.737444,498.596491,700.0,0.0,0.0
12,0,12,171,2.98359,3.0,171,0,5.539432,13.756862,498.596491,700.0,0.0,0.0
13,0,13,52,3.0,3.0,52,0,,,507.5,700.0,0.0,0.0
14,0,14,171,3.0,3.0,171,0,5.539432,13.756862,498.596491,700.0,0.0,0.0
15,0,15,171,2.983629,3.0,171,0,5.551057,13.774582,498.596491,700.0,0.0,0.0
16,0,16,52,3.0,3.0,52,0,,,507.5,700.0,0.0,0.0
17,0,17,171,3.0,3.0,171,0,5.551057,13.774582,498.596491,700.0,0.0,0.0
18,0,18,171,2.983666,3.0,171,0,5.561806,13.790546,498.596491,700.0,0.0,0.0
19,0,19,52,3.0,3.0,52,0,,,507.5,700.0,0.0,0.0
20,0,20,171,3.0,3.0,171,0,5.561806,13.790546,498.596491,700.0,0.0,0.0
21,0,21,87,2.968488,3.0,87,0,5.077414,12.322394,467.310345,654.0,0.0,0.0
22,0,22,10,3.0,3.0,10,0,,,484.0,654.0,0.0,0.0
23,0,23,74,3.0,3.0,74,0,,,484.0,654.0,0.0,0.0
24,0,24,52,3.0,3.0,52,0,,,484.0,654.0,0.0,0.0
25,0,25,171,3.0,3.0,171,0,5.077414,12.322394,475.508772,654.0,0.0,0.0
26,0,26,171,2.983731,3.0,171,0,4.541019,10.69987,450.45614,603.0,0.0,0.0
27,0,27,52,3.0,3.0,52,0,,,458.5,603.0,0.0,0.0
28,0,28,171,3.0,3.0,171,0,4.541019,10.69987,450.45614,603.0,0.0,0.0
29,0,29,171,2.983758,3.0,171,0,4.08513,9.320847,429.333333,560.0,0.0,0.0
30,0,30,52,3.0,3.0,52,0,,,437.0,560.0,0.0,0.0
31,0,31,171,3.0,3.0,171,0,4.08513,9.320847,429.333333,560.0,0.0,0.0
32,0,32,171,2.983779,3.0,171,0,3.697439,8.148555,411.157895,523.0,0.0,0.0
33,0,33,52,3.0,3.0,52,0,,,418.5,523.0,0.0,0.0
34,0,34,171,3.0,3.0,171,0,3.697439,8.148555,411.157895,523.0,0.0,0.0
35,0,35,171,2.983795,3.0,171,0,3.366127,7.147758,395.438596,491.0,0.0,0.0
36,0,36,52,3.0,3.0,52,0,,,402.5,491.0,0.0,0.0
37,0,37,171,3.0,3.0,171,0,3.366127,7.147758,395.438596,491.0,0.0,0.0
38,0,38,171,2.983804,3.0,171,0,3.083785,6.296435,382.175439,464.0,0.0,0.0
39,0,39,52,3.0,3.0,52,0,,,389.0,464.0,0.0,0.0
40,0,40,171,3.0,3.0,171,0,3.083785,6.296435,382.175439,464.0,0.0,0.0
41,0,41,171,2.983808,3.0,171,0,2.842766,5.571866,371.368421,442.0,0.0,0.0
42,0,42,52,3.0,3.0,52,0,,,378.0,442.0,0.0,0.0
43,0,43,171,3.0,3.0,171,0,2.842766,5.571866,371.368421,442.0,0.0,0.0
44,0,44,171,2.983701,3.0,171,0,2.636662,4.954808,361.54386,422.0,0.0,0.0
45,0,45,52,3.0,3.0,52,0,,,368.0,422.0,0.0,0.0
46,0,46,171,3.0,3.0,171,0,2.636662,4.954808,361.54386,422.0,0.0,0.0
47,0,47,171,2.982482,3.0,171,0,2.459927,4.428803,353.684211,406.0,0.0,0.0
48,0,48,52,3.0,3.0,52,0,,,360.0,406.0,0.0,0.0
49,0,49,171,3.0,3.0,171,0,2.459927,4.428803,353.684211,406.0,0.0,0.0
50,0,50,171,2.981425,3.0,171,0,2.30667,3.976322,346.807018,392.0,0.0,0.0
51,0,51,52,3.0,3.0,52,0,,,353.0,392.0,0.0,0.0
52,0,52,171,3.0,3.0,171,0,2.30667,3.976322,346.807018,392.0,0.0,0.0
53,0,53,171,2.980513,3.0,171,0,2.174364,3.589753,340.912281,380.0,0.0,0.0
54,0,54,52,3.0,3.0,52,0,,,347.0,380.0,0.0,0.0
55,0,55,171,3.0,3.0,171,0,2.174364,3.589753,340.912281,380.0,0.0,0.0
56,0,56,171,2.979721,3.0,171,0,2.05954,3.258855,336.0,370.0,0.0,0.0
57,0,57,52,3.0,3.0,52,0,,,342.0,370.0,0.0,0.0
58,0,58,171,3.0,3.0,171,0,2.05954,3.258855,336.0,370.0,0.0,0.0
59,0,59,171,2.97903,3.0,171,0,1.959383,2.975101,331.087719,361.0,0.0,0.0
60,0,60,52,3.0,3.0,52,0,,,337.0,361.0,0.0,0.0
61,0,61,171,3.0,3.0,171,0,1.959383,2.975101,331.087719,361.0,0.0,0.0
