x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
3,3,4,3,1,0,0.433158,90.0,0.433158,0,0.0,1.0,2.173263
15,3,16,3,1,0,0.433158,90.0,0.433158,0,0.0,1.0,2.173263
2,2,3,2,1,0,0.38435,90.0,0.38435,0,0.0,1.0,2.15374
16,2,17,2,1,0,0.38435,90.0,0.38435,0,0.0,1.0,2.15374
3,4,4,4,1,0,0.364074,90.0,0.364074,0,0.0,1.0,2.14563
15,4,16,4,1,0,0.364074,90.0,0.364074,0,0.0,1.0,2.14563
2,1,3,1,1,0,0.341389,90.0,0.341389,0,0.0,1.0,2.136556
16,1,17,1,1,0,0.341389,90.0,0.341389,0,0.0,1.0,2.136556
2,0,3,0,1,0,0.30213,90.0,0.30213,0,0.0,1.0,2.120852
16,0,17,0,1,0,0.30213,90.0,0.30213,0,0.0,1.0,2.120852
3,5,4,5,1,0,0.287986,90.0,0.287986,0,0.0,1.0,2.115194
15,5,16,5,1,0,0.287986,90.0,0.287986,0,0.0,1.0,2.115194
3,6,4,6,1,0,0.20104,90.0,0.20104,0,0.0,1.0,2.080416
15,6,16,6,1,0,0.20104,90.0,0.20104,0,0.0,1.0,2.080416
3,9,4,9,1,0,0.153182,90.0,0.153182,0,0.0,1.0,2.061273
15,9,16,9,1,0,0.153182,90.0,0.153182,0,0.0,1.0,2.061273
3,2,3,3,1,0,0.116159,90.0,0.116159,0,0.0,1.0,2.046464
16,2,16,3,1,0,0.116159,90.0,0.116159,0,0.0,1.0,2.046464
3,7,4,7,1,0,0.100116,90.0,0.100116,0,0.0,1.0,2.040047
15,7,16,7,1,0,0.100116,90.0,0.100116,0,0.0,1.0,2.040047
3,8,4,8,1,0,0.017366,90.0,0.017366,0,0.0,1.0,2.006946
15,8,16,8,1,0,0.017366,90.0,0.017366,0,0.0,1.0,2.006946
