cell,island_id,closure_oracle_class,area_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_x,centroid_y
cells/step_0.015/budget_32/curvature_0/row,1,budget_exhausted_no_hit,3600,0,0,79,44,39.5,22.0
cells/step_0.015/budget_700/curvature_0/row,1,integration_escape,1840,0,22,79,44,39.5,33.0
