timestamp,phase,step_length,reference_step_length,traversal,stride,roi_label,cell_dir,effective_status,beauty_hash,graph_node_count,graph_edge_count,seam_length_px_total,high_discontinuity_edge_count,stable_basin_count,unsealed_region_count,epsilon_stable_area_percent,precision_floor_histogram,threshold_snap_count,graph_edit_distance_vs_reference,traversal_resonance_delta,missing_optional_fields,plateaued,notes
2026-05-04T07:07:48Z,graph_precision_sweep,0.003125,0.003125,checkerboard,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.003125/checkerboard_stride_1,0,e0799334ce0066f85cfdbded7f639227672ab227fabee0a120f9069875f302ae,1,0,0,0,0,0,0.0,{},0,0.0,0.0,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T07:10:55Z,graph_precision_sweep,0.003125,0.003125,checkerboard,4,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.003125/checkerboard_stride_4,0,38eec3f02db82b234411a6259dae16f7fa1a05d0115163c5b5335f74290a43ce,1,0,0,0,0,0,0.0,{},0,0.0,0.0,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:58:22Z,graph_precision_sweep,0.003125,0.003125,row,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.003125/row_stride_1,0,9daec9914b286c2cf64c69a2fbef4c7cc9bcb7a8795eb8f9cfdae5a1f45a7612,1,0,0,0,0,0,0.0,{},0,0.0,0.0,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T07:01:30Z,graph_precision_sweep,0.003125,0.003125,row,4,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.003125/row_stride_4,0,d5d6124aab44a260bc707968cdf2ef24626e7ff42e6ee4c055581ed76a6f61ca,1,0,0,0,0,0,0.0,{},0,0.0,0.0,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:51:56Z,graph_precision_sweep,0.00625,0.003125,checkerboard,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.00625/checkerboard_stride_1,0,c8d2765ea0277b4101f88d49c4b4d3457378a2d39f9f3995b03b72bf832d73fd,89,144,11878,144,88,144,0.0,{},0,494.78,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:45:31Z,graph_precision_sweep,0.00625,0.003125,row,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.00625/row_stride_1,0,bb32757d92eeae265135eb5ad5a87387eacce641cbe220cf00f8745d6c05e751,89,144,11430,144,88,144,0.0,{},0,490.3,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:39:09Z,graph_precision_sweep,0.0075,0.003125,checkerboard,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.0075/checkerboard_stride_1,0,6b636592af5495d32a33947df3e7547dce62dee4cdad891d89733ace3458834b,89,144,12636,144,88,144,0.0,{},0,502.36,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:32:43Z,graph_precision_sweep,0.0075,0.003125,row,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.0075/row_stride_1,0,50806a006ea731226f8c4d1d4e5bf858da39d68f0ac301f72271f5cd9e6f1b2e,89,144,12630,144,88,144,0.0,{},0,502.3,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:26:23Z,graph_precision_sweep,0.010,0.003125,checkerboard,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.010/checkerboard_stride_1,0,9808e3d3d95f169c607f5c0c50cfc2f9bbc0adba7b4d90aadf5a885d8cb57746,89,144,12674,144,88,144,0.0,{},0,502.74,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:20:01Z,graph_precision_sweep,0.010,0.003125,row,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.010/row_stride_1,0,90ec5d2cf78da0ec628841d89fe5157cecf45bd5f6f468bec7e058432bb6a5bf,89,144,12676,144,88,144,0.0,{},0,502.76,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:13:41Z,graph_precision_sweep,0.011,0.003125,checkerboard,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.011/checkerboard_stride_1,0,60150e76fab3f7911036e1be09e0ca4054222fd586ea52ff3db46d5c594ff23b,89,144,12720,144,88,144,0.0,{},0,503.2,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:07:23Z,graph_precision_sweep,0.011,0.003125,row,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.011/row_stride_1,0,ddfff97e57eeb0215b39c1e0f442a87f9a6df7ec95d09c863d341ec9cc3af04c,89,144,12720,144,88,144,0.0,{},0,503.2,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T06:01:09Z,graph_precision_sweep,0.0125,0.003125,checkerboard,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.0125/checkerboard_stride_1,0,4c32904f9f08f37f25ea87ad5dfae66a11bccb602ed143d2e237a03140fed697,90,145,12868,145,89,145,0.0,{},0,507.68,,portal_event_count,0,godot_shutdown_abort_after_harness_success
2026-05-04T05:54:55Z,graph_precision_sweep,0.0125,0.003125,row,1,full_frame_control_plus_roi_seeds,/home/bb/code/godot_xPRIMEray/output/transport_ownership_graph_precision_sweep/20260504T043955Z/cells/step_0.0125/row_stride_1,0,b774a5dfe71f80301f6730f9adb9f627f11f09334cfbd474967d8f06029c53de,90,145,12859,145,89,145,0.0,{},0,507.59,,portal_event_count,0,godot_shutdown_abort_after_harness_success
