timestamp,phase,step_length,mode,stride,cell_dir,effective_status,beauty_hash,band_pixels,band_percent,horizontal_band_score,mean_band_run_length_by_row,max_contiguous_horizontal_band_width,row_band_coverage_percent,band_pixels_by_y_mod_stride,band_pixels_by_row_group,corner_edge_fill_proxy,notes
2026-05-02T17:43:09Z,A_off_stride,0.011,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.011/off_stride_2,0,5e79af2ecd1ae894416528fd4f1835bae03ac8a8132426e1a6364d37c6832ca7,12986,22.5451,0.31216,82.19,160,72.2222,"[6493,6493]","[260,514,1108,1470,1642,1625,779,1674,1610,1632,672,0]",0.02701,godot_shutdown_abort_after_harness_success
2026-05-02T17:45:20Z,A_off_stride,0.011,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.011/off_stride_4,0,a2ec2bb2ba5e77de996b8a409974ecfb9b63a3d6d9f54e4310e695563595f4ce,324,0.5625,0.16875,54,98,3.3333,"[162,0,0,162]","[0,196,64,0,0,0,0,0,0,64,0,0]",0.02175,godot_shutdown_abort_after_harness_success
2026-05-02T17:46:42Z,A_off_stride,0.011,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.011/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T17:20:38Z,A_off_stride,0.0125,off,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.0125/off_stride_1,0,6dea9915d65cabbce16551d32eb90bb0858a5ce4246c530b570472ed4d5ae218,18520,32.1528,0.45215,52.764,64,71.1111,[18520],"[0,512,1904,2336,2200,2268,2306,2272,2242,2032,448,0]",0.03506,godot_shutdown_abort_after_harness_success
2026-05-02T17:26:58Z,A_off_stride,0.0125,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.0125/off_stride_2,0,5b6f9629c5814c78a583b90d29e25c338431c914e7a1d3d8441f25831620afc3,7054,12.2465,0.22494,66.547,160,54.4444,"[3527,3527]","[196,68,332,694,874,462,198,102,438,646,1744,1300]",0.02701,godot_shutdown_abort_after_harness_success
2026-05-02T17:28:51Z,A_off_stride,0.0125,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.0125/off_stride_4,0,022428e692bfd3b3df8c1b94e0f5bbb06fe6348c6ee6e39ef9f0b2783e36a9e3,388,0.6736,0.20208,64.667,130,3.3333,"[194,0,0,194]","[0,260,64,0,0,0,0,0,0,64,0,0]",0.02175,godot_shutdown_abort_after_harness_success
2026-05-02T17:29:59Z,A_off_stride,0.0125,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.0125/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T17:04:42Z,A_off_stride,0.013,off,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.013/off_stride_1,0,a2c4bd8a5abaedad288b88c7a1c2bf5e27b58160ef9347e3bf33e50f94697b78,18568,32.2361,0.45332,52.157,64,71.1111,[18568],"[0,478,2032,2238,2200,2238,2204,2302,2302,2062,512,0]",0.03959,godot_shutdown_abort_after_harness_success
2026-05-02T17:11:03Z,A_off_stride,0.013,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.013/off_stride_2,0,5e6d36e7af7aa143adea437820856dcb96be2ab84a14abb30da541e741a75c65,3896,6.7639,0.17904,54.111,98,37.7778,"[1948,1948]","[196,68,60,238,306,136,324,136,0,724,528,1180]",0.02701,godot_shutdown_abort_after_harness_success
2026-05-02T17:12:49Z,A_off_stride,0.013,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.013/off_stride_4,0,9f2ba4d46e58c0ca6c3e177cc98de1bd6e8181e1b5cf76577a7dde4e3ac5d5de,128,0.2222,0.1,32,32,2.2222,"[64,0,0,64]","[0,0,64,0,0,0,0,0,0,64,0,0]",0.02054,godot_shutdown_abort_after_harness_success
2026-05-02T17:13:56Z,A_off_stride,0.013,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.013/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T16:49:02Z,A_off_stride,0.014,off,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.014/off_stride_1,0,3606ca1815a886eb974efc6f4f19e2f95138b5f06020eb365783a6100c54c136,18632,32.3472,0.44788,51.9,64,72.2222,[18632],"[34,546,1998,2234,2302,2234,2268,2302,2238,1998,478,0]",0.04128,godot_shutdown_abort_after_harness_success
2026-05-02T16:55:17Z,A_off_stride,0.014,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.014/off_stride_2,0,44746706838fce95c5734a9b2d6d2875ee0f37f4dd971751852aac7103079e1c,3152,5.4722,0.197,63.04,160,27.7778,"[1576,1576]","[196,0,60,102,34,0,136,0,268,592,776,988]",0.02701,godot_shutdown_abort_after_harness_success
2026-05-02T16:56:58Z,A_off_stride,0.014,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.014/off_stride_4,0,6c6d557d492cf2a44251e9dadd3c934c3c99a0e2ef56c28567fbc67e9e889f8f,260,0.4514,0.13542,43.333,66,3.3333,"[130,0,0,130]","[0,132,64,0,0,0,0,0,0,64,0,0]",0.0169,godot_shutdown_abort_after_harness_success
2026-05-02T16:58:05Z,A_off_stride,0.014,off,8,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.014/off_stride_8,0,acc6d4048b817b277baf24820328c57c147d2efde624ce9a78a6d530176b596a,112,0.1944,0.0875,28,28,2.2222,"[56,0,0,0,0,0,0,56]","[0,0,56,0,0,0,0,0,0,56,0,0]",0,godot_shutdown_abort_after_harness_success
2026-05-02T16:33:39Z,A_off_stride,0.015,off,1,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.015/off_stride_1,0,f9710bcd1b553114cc242e89d599e3ee51f7c57d88b4a8bc5e6834cd6a75208a,17978,31.2118,0.42562,51.96,64,73.3333,[17978],"[136,478,1964,2204,2174,2174,2204,2178,2114,1904,448,0]",0.04433,godot_shutdown_abort_after_harness_success
2026-05-02T16:39:43Z,A_off_stride,0.015,off,2,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.015/off_stride_2,0,0e14bfe3c7f26bc25824d3fd97b93507d7d13dbe30eab3bb8e68f92df781fb92,1044,1.8125,0.20391,65.25,130,8.8889,"[522,522]","[260,0,60,0,0,0,0,0,0,68,264,392]",0.02442,godot_shutdown_abort_after_harness_success
2026-05-02T16:41:18Z,A_off_stride,0.015,off,4,/home/bb/code/godot_xPRIMEray/output/doe_scheduler_resonance/20260502T155725Z/phase_A_off_stride/step_0.015/off_stride_4,0,facee9e90d1cc4ecbecef4a26eff3fdd98d436c21b5d49d76113df0ef5aef4d2,388,0.6736,0.20208,64.667,130,3.3333,"[194,0,0,194]","[0,260,64,0,0,0,0,0,0,64,0,0]",0.0169,godot_shutdown_abort_after_harness_success
