x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
34,37,stable,0.018,0.001654,0.012647,0.0,0,1,1,0.000896,0.000615,0.006335,0.003497,0.0,0.0
34,38,stable,0.015,0.00227,0.018114,0.0,0,1,1,0.000779,0.000477,0.005552,0.002714,0.0,0.0
34,39,stable,0.02,0.001746,0.013564,0.0,0,1,1,0.000699,0.000412,0.004769,0.001931,0.0,0.0
34,40,stable,0.02,0.001668,0.013021,0.0,0,1,1,0.000598,0.000316,0.003986,0.001148,0.0,0.0
34,41,stable,0.015,0.001858,0.014516,0.0,0,1,1,0.000514,0.000562,0.003203,0.00349,0.0,0.0
34,42,stable,0.016,0.002501,0.019983,0.0,0,1,1,0.000413,0.000501,0.00242,0.002707,0.0,0.0
35,26,stable,0.02,0.001527,0.012694,0.0,0,1,1,0.000135,0.000198,0.000887,0.001174,0.0,0.0
35,27,stable,0.018,0.001581,0.012506,0.0,0,1,1,0.000392,0.000458,0.002447,0.002734,0.0,0.0
35,28,stable,0.018,0.00224,0.018755,0.0,0,1,1,0.000316,0.000379,0.002445,0.002732,0.0,0.0
35,29,stable,0.02,0.00208,0.016564,0.0,0,1,1,0.000604,0.000286,0.004005,0.001167,0.0,0.0
35,30,stable,0.018,0.001575,0.012814,0.0,0,1,1,0.000527,0.000243,0.004004,0.001165,0.0,0.0
35,31,stable,0.016,0.00248,0.019843,0.0,0,1,1,0.000694,0.00039,0.004783,0.001945,0.0,0.0
35,32,stable,0.02,0.002222,0.018091,0.0,0,1,1,0.000658,0.000362,0.004781,0.001943,0.0,0.0
35,33,stable,0.018,0.00142,0.011559,0.0,0,1,1,0.000519,0.000238,0.003998,0.00116,0.0,0.0
35,34,stable,0.015,0.002341,0.018588,0.0,0,1,1,0.000709,0.000429,0.004777,0.001939,0.0,0.0
35,35,stable,0.02,0.002111,0.016779,0.0,0,1,1,0.00069,0.000408,0.004775,0.001937,0.0,0.0
35,36,stable,0.018,0.001542,0.012287,0.0,0,1,1,0.000566,0.00027,0.003992,0.001154,0.0,0.0
35,37,stable,0.015,0.001917,0.015771,0.0,0,1,1,0.000424,0.000122,0.003209,0.000371,0.0,0.0
35,38,stable,0.02,0.002191,0.018021,0.0,0,1,1,0.000429,0.000515,0.003207,0.003494,0.0,0.0
35,39,stable,0.02,0.001397,0.011458,0.0,0,1,1,0.000317,0.00038,0.002424,0.002711,0.0,0.0
35,40,stable,0.015,0.001558,0.012954,0.0,0,1,1,0.000216,0.000284,0.001641,0.001928,0.0,0.0
35,41,stable,0.016,0.002548,0.019983,0.0,0,1,1,0.000468,0.000536,0.00242,0.002707,0.0,0.0
35,42,stable,0.02,0.001663,0.013861,0.0,0,1,1,3.1e-05,9.9e-05,7.5e-05,0.000362,0.0,0.0
36,26,stable,0.014,0.002228,0.018162,0.0,0,1,1,0.000847,0.000549,0.006354,0.003516,0.0,0.0
36,27,stable,0.018,0.002191,0.017193,0.0,0,1,1,0.000281,0.000718,0.000883,0.004295,0.0,0.0
36,28,stable,0.02,0.001678,0.01344,0.0,0,1,1,0.000204,0.000273,0.000881,0.001168,0.0,0.0
36,29,stable,0.02,0.001627,0.013631,0.0,0,1,1,0.000127,0.000193,0.000879,0.001166,0.0,0.0
36,30,stable,0.018,0.002192,0.0175,0.0,0,1,1,0.000421,0.000469,0.002439,0.002727,0.0,0.0
36,31,stable,0.02,0.001934,0.015748,0.0,0,1,1,0.000368,0.000436,0.002438,0.002725,0.0,0.0
36,32,stable,0.018,0.00144,0.010872,0.0,0,1,1,0.000527,0.000614,0.003217,0.003504,0.0,0.0
36,33,stable,0.016,0.002131,0.017026,0.0,0,1,1,0.000507,0.000559,0.003215,0.003502,0.0,0.0
36,34,stable,0.02,0.002001,0.016494,0.0,0,1,1,0.000335,0.000399,0.002432,0.002719,0.0,0.0
36,35,stable,0.02,0.00156,0.012943,0.0,0,1,1,0.000224,0.000286,0.001649,0.001936,0.0,0.0
36,36,stable,0.015,0.001923,0.01499,0.0,0,1,1,0.000435,0.000487,0.002428,0.002715,0.0,0.0
36,37,stable,0.02,0.002183,0.01724,0.0,0,1,1,0.00042,0.000502,0.002426,0.002713,0.0,0.0
36,38,stable,0.02,0.001379,0.010677,0.0,0,1,1,0.000301,0.000365,0.001643,0.00193,0.0,0.0
36,39,stable,0.015,0.001534,0.012173,0.0,0,1,1,0.000197,0.000269,0.00086,0.001147,0.0,0.0
36,40,stable,0.016,0.002163,0.01764,0.0,0,1,1,0.000817,0.000535,0.006328,0.003489,0.0,0.0
36,41,stable,0.02,0.001627,0.01308,0.0,0,1,1,0.000733,0.000412,0.005545,0.002707,0.0,0.0
36,42,stable,0.02,0.001549,0.012519,0.0,0,1,1,0.000632,0.00035,0.004762,0.001924,0.0,0.0
37,26,stable,0.018,0.001909,0.01485,0.0,0,1,1,0.000717,0.000434,0.00479,0.001952,0.0,0.0
37,27,stable,0.02,0.001382,0.011097,0.0,0,1,1,0.000633,0.000353,0.004788,0.00195,0.0,0.0
37,28,stable,0.02,0.002385,0.018908,0.0,0,1,1,0.0009,0.000617,0.006349,0.00351,0.0,0.0
37,29,stable,0.018,0.001785,0.014376,0.0,0,1,1,0.000749,0.000453,0.005566,0.002728,0.0,0.0
37,30,stable,0.02,0.001524,0.012624,0.0,0,1,1,0.000681,0.000378,0.005564,0.002726,0.0,0.0
37,31,stable,0.02,0.002054,0.016377,0.0,0,1,1,0.000231,0.000684,0.000874,0.004286,0.0,0.0
37,32,stable,0.018,0.001697,0.013902,0.0,0,1,1,6.3e-05,0.000126,9.1e-05,0.000378,0.0,0.0
37,33,stable,0.02,0.002034,0.015713,0.0,0,1,1,0.000376,0.000444,0.001651,0.001938,0.0,0.0
37,34,stable,0.02,0.001585,0.012162,0.0,0,1,1,0.000257,0.000328,0.000868,0.001155,0.0,0.0
37,35,stable,0.018,0.001678,0.013428,0.0,0,1,1,0.000197,0.000269,0.000866,0.001153,0.0,0.0
37,36,stable,0.015,0.002278,0.018895,0.0,0,1,1,0.000788,0.000488,0.006333,0.003495,0.0,0.0
37,37,stable,0.02,0.001741,0.014345,0.0,0,1,1,0.000704,0.000387,0.00555,0.002712,0.0,0.0
37,38,stable,0.018,0.001519,0.011392,0.0,0,1,1,0.000919,0.000623,0.00633,0.003491,0.0,0.0
37,39,stable,0.016,0.002147,0.016859,0.0,0,1,1,0.000808,0.000488,0.005547,0.002708,0.0,0.0
37,40,stable,0.02,0.001584,0.012299,0.0,0,1,1,0.00069,0.000385,0.004764,0.001925,0.0,0.0
37,41,stable,0.02,0.00151,0.011738,0.0,0,1,1,0.000591,0.000289,0.003981,0.001143,0.0,0.0
37,42,stable,0.016,0.001702,0.013264,0.0,0,1,1,0.0005,0.000567,0.003198,0.003485,0.0,0.0
38,26,stable,0.018,0.002179,0.017974,0.0,0,1,1,0.000263,0.00035,0.001664,0.001951,0.0,0.0
38,27,stable,0.02,0.002009,0.015783,0.0,0,1,1,0.000533,0.000582,0.003224,0.003511,0.0,0.0
38,28,stable,0.018,0.001945,0.015974,0.0,0,1,1,0.000455,0.000138,0.003222,0.000384,0.0,0.0
38,29,stable,0.016,0.002494,0.019843,0.0,0,1,1,0.000712,0.000432,0.004783,0.001945,0.0,0.0
38,30,stable,0.02,0.00223,0.018091,0.0,0,1,1,0.000662,0.000364,0.004781,0.001943,0.0,0.0
38,31,stable,0.018,0.001413,0.011559,0.0,0,1,1,0.000519,0.000203,0.003998,0.00116,0.0,0.0
38,32,stable,0.015,0.002439,0.019369,0.0,0,1,1,0.000813,0.000514,0.005558,0.00272,0.0,0.0
38,33,stable,0.02,0.001242,0.009819,0.0,0,1,1,0.000638,0.000354,0.004775,0.001937,0.0,0.0
38,34,stable,0.018,0.001597,0.013068,0.0,0,1,1,0.000611,0.00033,0.004773,0.001935,0.0,0.0
38,35,stable,0.015,0.002293,0.018114,0.0,0,1,1,0.000803,0.000522,0.005552,0.002714,0.0,0.0
38,36,stable,0.02,0.001743,0.013564,0.0,0,1,1,0.000697,0.000412,0.004769,0.001931,0.0,0.0
