roi_id,object_id,x,y,reference_step_length,required_precision,max_decision_risk,collider_flip_any,hit_ownership_change_any,max_hit_distance_delta,max_normal_angle_delta
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,25,0.003125,0.003125,3.591268,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,162,25,0.003125,0.003125,3.591246,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,25,0.003125,0.003125,3.591245,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,164,25,0.003125,0.003125,3.591197,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,156,26,0.003125,0.003125,3.587366,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,157,26,0.003125,0.003125,3.587258,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,26,0.003125,0.003125,3.587299,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,26,0.003125,0.003125,3.587291,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,26,0.003125,0.003125,3.587366,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,164,26,0.003125,0.003125,3.587351,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,156,27,0.003125,0.003125,3.585035,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,157,27,0.003125,0.003125,3.584942,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,158,27,0.003125,0.003125,3.584934,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,27,0.003125,0.003125,3.58494,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,160,27,0.003125,0.003125,3.58494,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,27,0.003125,0.003125,3.584934,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,162,27,0.003125,0.003125,3.584942,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,27,0.003125,0.003125,3.585035,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,164,27,0.003125,0.003125,3.584986,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,157,28,0.003125,0.003125,3.584931,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,158,28,0.003125,0.003125,3.584959,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,28,0.003125,0.003125,3.584932,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,28,0.003125,0.003125,3.584959,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,162,28,0.003125,0.003125,3.584931,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,28,0.003125,0.003125,3.585024,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,40,35,0.003125,0.003125,3.647406,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,42,35,0.003125,0.003125,3.647444,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,38,35,0.003125,0.003125,3.653717,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,40,37,0.003125,0.003125,3.64737,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,40,33,0.003125,0.003125,3.653625,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,42,37,0.003125,0.003125,3.641949,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,42,33,0.003125,0.003125,3.649763,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,38,37,0.003125,0.003125,3.647417,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,38,33,0.003125,0.003125,3.653692,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,38,34,0.003125,0.003125,3.653725,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,42,36,0.003125,0.003125,3.647456,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,41,33,0.003125,0.003125,3.653649,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,39,37,0.003125,0.003125,3.647449,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,44,35,0.003125,0.003125,3.642011,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,36,35,0.003125,0.003125,3.65362,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,40,39,0.003125,0.003125,3.6419,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,40,31,0.003125,0.003125,3.653669,True,True,0,1.570796
manual_roi:40:35:geometry:25836914057:edge_midpoint:6,geometry:25836914057,44,39,0.003125,0.003125,3.634954,True,True,0,1.570796
