x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
38,32,extra_fine_required,,2.328717,2.104385,0.0,1,0,0,2.328717,2.328274,2.104385,2.101547,0.0,0.0
38,33,extra_fine_required,,2.328529,2.103179,0.0,1,0,0,2.327741,2.327297,2.098135,2.095296,0.0,0.0
38,34,extra_fine_required,,2.326765,2.091884,0.0,1,0,0,2.326765,2.326321,2.091884,2.089046,0.0,0.0
38,35,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.325788,2.325345,2.085634,2.082796,0.0,0.0
38,36,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.324812,2.324368,2.079383,2.076545,0.0,0.0
39,32,extra_fine_required,,2.328529,2.103179,0.0,1,0,0,2.327741,2.327786,2.098135,2.098422,0.0,0.0
39,33,extra_fine_required,,2.328529,2.103179,0.0,1,0,0,2.326765,2.326809,2.091884,2.092171,0.0,0.0
39,34,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.325788,2.325833,2.085634,2.085921,0.0,0.0
39,35,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.324812,2.324857,2.079383,2.07967,0.0,0.0
39,36,extra_fine_required,,2.32388,2.07342,0.0,1,0,0,2.323835,2.32388,2.073133,2.07342,0.0,0.0
40,32,extra_fine_required,,2.328529,2.103179,0.0,1,0,0,2.326765,2.326809,2.091884,2.092171,0.0,0.0
40,33,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.325788,2.325833,2.085634,2.085921,0.0,0.0
40,34,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.324812,2.324857,2.079383,2.07967,0.0,0.0
40,35,extra_fine_required,,2.32388,2.07342,0.0,1,0,0,2.323835,2.32388,2.073133,2.07342,0.0,0.0
40,36,extra_fine_required,,2.323843,2.073178,0.0,1,0,0,2.322859,2.322904,2.066883,2.06717,0.0,0.0
41,32,extra_fine_required,,2.326765,2.091884,0.0,1,0,0,2.326765,2.326321,2.091884,2.089046,0.0,0.0
41,33,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.325788,2.325345,2.085634,2.082796,0.0,0.0
41,34,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.324812,2.324368,2.079383,2.076545,0.0,0.0
41,35,extra_fine_required,,2.323843,2.073178,0.0,1,0,0,2.323835,2.323392,2.073133,2.070295,0.0,0.0
41,36,extra_fine_required,,2.323843,2.073178,0.0,1,0,0,2.322859,2.322416,2.066883,2.064044,0.0,0.0
42,32,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.325788,2.325833,2.085634,2.085921,0.0,0.0
42,33,extra_fine_required,,2.326186,2.088178,0.0,1,0,0,2.324812,2.324857,2.079383,2.07967,0.0,0.0
42,34,extra_fine_required,,2.32388,2.07342,0.0,1,0,0,2.323835,2.32388,2.073133,2.07342,0.0,0.0
42,35,extra_fine_required,,2.323843,2.073178,0.0,1,0,0,2.322859,2.322904,2.066883,2.06717,0.0,0.0
42,36,extra_fine_required,,2.323843,2.073178,0.0,1,0,0,2.321883,2.321928,2.060632,2.060919,0.0,0.0
