region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
264,264,geometry:25836914057,488,270,480,270,2.251358,28,,0.003125,threshold_snap:197,UNSEALED_NONCONVERGENT,197,197,0,no
265,265,geometry:25836914057,483,265,480,270,2.253293,27.45906,,0.003125,threshold_snap:225,UNSEALED_NONCONVERGENT,225,225,0,no
266,266,geometry:25836914057,485,263,480,270,2.251359,27.313001,,0.003125,threshold_snap:215,UNSEALED_NONCONVERGENT,215,215,0,no
267,267,geometry:25836914057,484,274,480,270,2.25136,27.45906,,0.003125,threshold_snap:216,UNSEALED_NONCONVERGENT,216,216,0,no
268,268,geometry:25836914057,485,275,480,270,2.25136,27.784888,,0.003125,threshold_snap:217,UNSEALED_NONCONVERGENT,217,217,0,no
269,269,geometry:25836914057,488,294,480,270,2.25136,27.856777,,0.003125,threshold_snap:115,UNSEALED_NONCONVERGENT,115,115,0,no
270,270,geometry:25836914057,490,280,480,270,2.25136,27.856777,,0.003125,threshold_snap:184,UNSEALED_NONCONVERGENT,184,184,0,no
271,271,geometry:25836914057,495,253,480,270,2.251358,27.45906,,0.003125,threshold_snap:112,UNSEALED_NONCONVERGENT,112,112,0,no
272,272,geometry:25836914057,496,286,480,270,2.25133,28,,0.003125,threshold_snap:106,UNSEALED_NONCONVERGENT,106,106,0,no
273,273,geometry:25836914057,495,269,480,270,2.250968,27.892651,,0.003125,threshold_snap:155,UNSEALED_NONCONVERGENT,155,155,0,no
274,274,geometry:25836914057,496,270,480,270,2.250968,28,,0.003125,threshold_snap:144,UNSEALED_NONCONVERGENT,144,144,0,no
275,275,geometry:25836914057,496,254,480,270,2.251358,28,,0.003125,threshold_snap:108,UNSEALED_NONCONVERGENT,108,108,0,no
276,276,geometry:25836914057,495,285,480,270,2.251346,27.892651,,0.003125,threshold_snap:125,UNSEALED_NONCONVERGENT,125,125,0,no
