roi_id,object_id,x,y,reference_step_length,required_precision,max_decision_risk,collider_flip_any,hit_ownership_change_any,max_hit_distance_delta,max_normal_angle_delta
geometry:25836914057:edge_midpoint:6,geometry:25836914057,158,23,0.003125,0.003125,5.400082,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,23,0.003125,0.003125,5.399915,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,160,23,0.003125,0.003125,5.399915,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,23,0.003125,0.003125,5.400082,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,162,23,0.003125,0.003125,5.400117,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,23,0.003125,0.003125,5.40016,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,164,23,0.003125,0.003125,5.400102,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,157,24,0.003125,0.003125,5.399966,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,24,0.003125,0.003125,5.400038,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,24,0.003125,0.003125,5.399985,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,24,0.003125,0.003125,5.399942,False,False,0,0
geometry:25836914057:edge_midpoint:6,geometry:25836914057,156,25,0.003125,0.003125,2.296251,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,157,25,0.003125,0.003125,2.29625,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,158,25,0.003125,0.003125,2.296256,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,25,0.003125,0.003125,2.296258,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,160,25,0.003125,0.003125,2.296258,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,25,0.003125,0.003125,2.296256,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,162,25,0.003125,0.003125,2.29625,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,25,0.003125,0.003125,2.296251,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,164,25,0.003125,0.003125,2.296233,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,156,26,0.003125,0.003125,2.294304,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,157,26,0.003125,0.003125,2.294276,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,159,26,0.003125,0.003125,2.294286,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,161,26,0.003125,0.003125,2.294284,True,True,0,1.570796
geometry:25836914057:edge_midpoint:6,geometry:25836914057,163,26,0.003125,0.003125,2.294304,True,True,0,1.570796
