edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
65,0,65,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
66,0,66,170,2.977382,3.0,170,0,0.137135,0.138749,691.764706,700.0,0.0,0.0
67,0,67,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
68,0,68,74,3.0,3.0,74,0,,,700.0,700.0,0.0,0.0
69,0,69,10,3.0,3.0,10,0,,,700.0,700.0,0.0,0.0
70,0,70,20,3.0,3.0,20,0,,,700.0,700.0,0.0,0.0
71,0,71,170,2.977317,3.0,170,0,0.123079,0.12494,691.764706,700.0,0.0,0.0
72,0,72,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
73,0,73,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
74,0,74,170,2.977243,3.0,170,0,0.107311,0.109373,691.764706,700.0,0.0,0.0
75,0,75,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
76,0,76,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
77,0,77,170,2.977162,3.0,170,0,0.089793,0.092093,691.764706,700.0,0.0,0.0
78,0,78,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
79,0,79,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
80,0,80,170,2.977073,3.0,170,0,0.070633,0.07314,691.764706,700.0,0.0,0.0
81,0,81,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
82,0,82,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
83,0,83,170,2.976975,3.0,170,0,0.049722,0.052471,691.764706,700.0,0.0,0.0
84,0,84,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
85,0,85,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
86,0,86,326,2.987797,3.0,326,0,0.027105,0.030021,695.705521,700.0,0.0,0.0
87,0,87,326,2.98775,3.0,326,0,0.007384,0.010086,693.558282,700.0,0.0,0.0
88,0,88,384,2.989589,3.0,384,0,0.001806,0.004398,692.708333,700.0,0.0,0.0
89,4,5,2,1.178783,1.178787,2,0,0.002516,0.002524,0.0,0.0,0.0,0.0
90,5,6,2,1.222574,1.222586,2,0,0.111991,0.11202,0.0,0.0,0.0,0.0
91,7,8,2,1.1788,1.178815,2,0,0.002556,0.002594,0.0,0.0,0.0,0.0
92,8,9,2,1.222471,1.222471,2,0,0.111733,0.111734,0.0,0.0,0.0,0.0
93,10,11,2,1.178812,1.178812,2,0,0.002587,0.002587,0.0,0.0,0.0,0.0
94,11,12,2,1.222374,1.222387,2,0,0.111492,0.111525,0.0,0.0,0.0,0.0
95,13,14,2,1.178783,1.178786,2,0,0.002515,0.002521,0.0,0.0,0.0,0.0
96,14,15,2,1.222246,1.222255,2,0,0.11117,0.111194,0.0,0.0,0.0,0.0
97,16,17,2,1.178808,1.178808,2,0,0.002577,0.002577,0.0,0.0,0.0,0.0
98,17,18,2,1.222181,1.222192,2,0,0.111008,0.111035,0.0,0.0,0.0,0.0
99,19,20,2,2.03017,2.033788,2,0,0.075425,0.084471,0.0,0.0,0.0,0.0
100,20,21,2,2.027764,2.029378,2,0,0.06941,0.073445,0.0,0.0,0.0,0.0
101,21,22,2,1.178797,1.178813,2,0,0.00255,0.002588,0.0,0.0,0.0,0.0
