edge_id,node_a,node_b,seam_length_px,collider_flip_count,domain_flip_count,boundary_event_flip_count,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,mean_hit_distance_delta,max_hit_distance_delta,mean_path_length_delta,max_path_length_delta,mean_step_count_delta,max_step_count_delta,mean_normal_angle_delta,max_normal_angle_delta,unresolved_sample_count_on_seam,ownership_transition_count,edge_stability_class
1,0,1,11,11,0,0,2.098216,2.173263,0.245541,0.433158,0.245541,0.433158,0.0,0.0,90.0,90.0,0,0,precision_sensitive
2,0,3,4,4,0,0,,,6.098008,6.710828,,,700.0,700.0,0.0,0.0,0,0,unknown
3,1,2,11,11,0,0,2.098216,2.173263,0.245541,0.433158,0.245541,0.433158,0.0,0.0,90.0,90.0,0,0,precision_sensitive
4,1,3,12,12,0,0,,,6.073514,6.86401,,,700.0,700.0,0.0,0.0,0,0,unknown
5,2,3,4,4,0,0,,,6.098008,6.710828,,,700.0,700.0,0.0,0.0,0,0,unknown
