node_id,transport_signature,had_hit,collider_id,domain_id,boundary_event_bucket,area_px,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,mean_hit_distance,mean_path_length,mean_step_count,mean_boundary_event_count,mean_normal_x,mean_normal_y,mean_normal_z,is_unresolved_island_member,precision_floor_label,epsilon_stable_area_px,source_step_length,traversal,stride
0,1|26206012821|0|0,1,26206012821,0,0,37,1.378378,4.783784,0,0,3,9,5.828743,5.828743,700.0,0.0,1.0,0.0,0.0,0,,,0.015,row,1
1,1|26105349517|0|0,1,26105349517,0,0,126,9.5,4.333333,3,0,16,9,5.420666,5.420666,700.0,0.0,0.0,0.0,1.0,0,,,0.015,row,1
2,1|26256344472|0|0,1,26256344472,0,0,37,17.621622,4.783784,16,0,19,9,5.828743,5.828743,700.0,0.0,-1.0,0.0,0.0,0,,,0.015,row,1
3,0|0|0|0,0,0,0,0,20,9.5,10.0,0,10,19,10,0.0,,0.0,0.0,,,,0,,,0.015,row,1
