region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
65,25887245710,78,159.5,116.0,147,115,172,117,54,2.662579,3.0,32,32,0.592593,True
66,25836914057,248,214.548,115.984,173,115,256,117,170,2.879645,3.0,93,93,0.547059,True
67,25987909012,4,211.5,117.0,210,117,213,117,4,2.023472,2.029961,6,6,1.5,True
68,25836914057,252,104.5,120.0,63,119,146,121,170,2.917439,3.0,90,90,0.529412,True
69,25887245710,78,159.5,120.0,147,119,172,121,54,2.662585,3.0,32,32,0.592593,True
70,25836914057,112,191.17,120.009,173,119,210,121,77,2.79505,3.0,45,45,0.584416,True
71,25987909012,13,212.0,119.846,210,119,214,121,10,2.159915,3.0,13,13,1.3,True
72,25836914057,127,235.331,120.008,214,119,256,121,87,2.917319,3.0,47,47,0.54023,True
73,25836914057,252,104.5,124.0,63,123,146,125,170,2.917015,3.0,90,90,0.529412,True
74,25887245710,78,159.5,124.0,147,123,172,125,54,2.662592,3.0,32,32,0.592593,True
75,25836914057,251,214.335,123.996,173,123,256,125,169,2.938696,3.0,87,87,0.514793,True
76,25836914057,252,104.5,128.0,63,127,146,129,170,2.916629,3.0,90,90,0.529412,True
77,25887245710,78,159.5,128.0,147,127,172,129,54,2.662601,3.0,32,32,0.592593,True
78,25836914057,252,214.5,128.0,173,127,256,129,170,2.938699,3.0,87,87,0.511765,True
79,25836914057,252,104.5,132.0,63,131,146,133,170,2.916274,3.0,90,90,0.529412,True
80,25887245710,78,159.5,132.0,147,131,172,133,54,2.66261,3.0,32,32,0.592593,True
81,25836914057,252,214.5,132.0,173,131,256,133,170,2.938703,3.0,87,87,0.511765,True
82,25836914057,252,104.5,136.0,63,135,146,137,170,2.915926,3.0,90,90,0.529412,True
83,25887245710,78,159.5,136.0,147,135,172,137,54,2.662621,3.0,32,32,0.592593,True
84,25836914057,252,214.5,136.0,173,135,256,137,170,2.938707,3.0,87,87,0.511765,True
85,25836914057,252,104.5,140.0,63,139,146,141,170,2.91559,3.0,90,90,0.529412,True
86,25887245710,78,159.5,140.0,147,139,172,141,54,2.662631,3.0,32,32,0.592593,True
87,25836914057,252,214.5,140.0,173,139,256,141,170,2.93871,3.0,87,87,0.511765,True
88,25836914057,581,159.334,143.998,63,143,256,145,389,2.98903,3.0,197,197,0.506427,True
89,25836914057,581,159.334,147.998,63,147,256,149,389,2.988894,3.0,197,197,0.506427,True
90,25836914057,581,159.334,151.998,63,151,256,153,389,2.988763,3.0,197,197,0.506427,True
