cell,island_id,closure_oracle_class,area_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_x,centroid_y
cells/step_0.015/budget_32/curvature_0/row,1,budget_exhausted_no_hit,8992,0,0,639,14,318.418,6.527
cells/step_0.015/budget_32/curvature_0/row,2,budget_exhausted_no_hit,6400,0,45,639,54,319.5,49.5
