cell,step_length,steps_per_ray,curvature_strength,traversal,total_pixels,hit_pixel_count,hit_closure_percent,no_hit_pixel_count,budget_exhausted_without_hit_count,max_steps_reached_count,integration_escape_count,unresolved_island_count,closure_basin_count,unstable_closure_basin_count,ownership_graph_node_count,seam_length_px_total,closure_confidence_high,closure_confidence_medium,closure_confidence_low,closure_confidence_unstable,false_plateau_candidate,transport_quality_phase,recommended_next_action
cells/step_0.015/budget_32/curvature_0/row,0.015,32,0,row,15392,0,0.0,15392,15392,15392,0,2,0,2,1,0.0,0,0,0,15392,False,budget_saturated,increase max traversal/step budget or use adaptive budget scaling
cells/step_0.015/budget_700/curvature_0/row,0.015,700,0,row,2912,2912,100.0,0,0,2912,0,0,2,0,8,1933.0,0,2912,0,0,False,plateau,candidate operating window only if closure is complete and budget pressure is flat
