region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count
0,25836914057,194,159.5,27.0,63,27,256,27,194
1,25836914057,194,159.5,31.0,63,31,256,31,194
