node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
99,geometry:25836914057:centroid,geometry:25836914057,2,152,106,160,90,17.88854,2.034444,Centroid,-1.0,49.64877,0,8,2.255648,2.254288,0.003125,threshold_snap,no,yes,yes
100,geometry:25836914057:centroid,geometry:25836914057,2,152,106,160,90,17.88854,2.034444,Centroid,-1.0,49.64877,0,16,2.255648,2.254288,0.003125,threshold_snap,no,yes,yes
101,geometry:25836914057:centroid,geometry:25836914057,2,152,106,160,90,17.88854,2.034444,Centroid,-1.0,49.64877,-8,0,2.255648,2.254288,0.003125,threshold_snap,no,yes,yes
102,geometry:25836914057:centroid,geometry:25836914057,2,148,106,160,90,20.0,2.214298,Centroid,-1.0,50.44799,4,0,2.255644,2.25525,0.003125,threshold_snap,no,yes,yes
103,geometry:25836914057:centroid,geometry:25836914057,2,146,92,160,90,14.14214,2.999696,Centroid,-1.0,64.53681,-6,-6,2.255641,2.254271,0.003125,threshold_snap,no,yes,yes
104,geometry:25836914057:centroid,geometry:25836914057,2,147,103,160,90,18.38478,2.356194,Centroid,-1.0,53.60037,3,-3,2.255637,2.255247,0.003125,threshold_snap,no,yes,yes
105,geometry:25836914057:centroid,geometry:25836914057,2,144,86,160,90,16.49242,-2.896614,Centroid,-1.0,64.03124,0,-4,2.255635,2.255233,0.003125,threshold_snap,no,yes,yes
106,geometry:25836914057:centroid,geometry:25836914057,2,144,98,160,90,17.88854,2.677945,Centroid,-1.0,59.20304,0,-8,2.255634,2.255247,0.003125,threshold_snap,no,yes,yes
107,geometry:25836914057:centroid,geometry:25836914057,2,144,98,160,90,17.88854,2.677945,Centroid,-1.0,59.20304,0,8,2.255634,2.255247,0.003125,threshold_snap,no,yes,yes
108,geometry:25836914057:centroid,geometry:25836914057,2,144,98,160,90,17.88854,2.677945,Centroid,-1.0,59.20304,-8,0,2.255634,2.255247,0.003125,threshold_snap,no,yes,yes
109,geometry:25836914057:centroid,geometry:25836914057,2,144,98,160,90,17.88854,2.677945,Centroid,-1.0,59.20304,-8,8,2.255634,2.255247,0.003125,threshold_snap,no,yes,yes
110,geometry:25836914057:centroid,geometry:25836914057,2,144,94,160,90,16.49242,2.896614,Centroid,-1.0,63.06346,0,4,2.255633,2.255246,0.003125,threshold_snap,no,yes,yes
111,geometry:25836914057:centroid,geometry:25836914057,2,148,78,160,90,16.97056,-2.356194,Centroid,-1.0,55.31727,4,4,2.255626,2.254253,0.003125,threshold_snap,no,yes,yes
112,geometry:25836914057:centroid,geometry:25836914057,2,148,78,160,90,16.97056,-2.356194,Centroid,-1.0,55.31727,-4,-4,2.255626,2.254253,0.003125,threshold_snap,no,yes,yes
113,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-16,0,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
114,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,0,-16,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
115,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,0,16,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
116,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,0,0,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
117,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-8,8,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
118,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-8,-8,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
119,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-8,0,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
120,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-16,16,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
121,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-16,-16,2.255624,2.255245,0.003125,threshold_snap,no,yes,yes
122,geometry:25836914057:centroid,geometry:25836914057,2,144,82,160,90,17.88854,-2.677945,Centroid,-1.0,60.16644,0,8,2.255623,2.255229,0.003125,threshold_snap,no,yes,yes
123,geometry:25836914057:centroid,geometry:25836914057,2,144,82,160,90,17.88854,-2.677945,Centroid,-1.0,60.16644,0,-8,2.255623,2.255229,0.003125,threshold_snap,no,yes,yes
124,geometry:25836914057:centroid,geometry:25836914057,2,144,82,160,90,17.88854,-2.677945,Centroid,-1.0,60.16644,-8,0,2.255623,2.255229,0.003125,threshold_snap,no,yes,yes
125,geometry:25836914057:centroid,geometry:25836914057,2,144,82,160,90,17.88854,-2.677945,Centroid,-1.0,60.16644,-8,-8,2.255623,2.255229,0.003125,threshold_snap,no,yes,yes
126,geometry:25836914057:centroid,geometry:25836914057,2,147,77,160,90,18.38478,-2.356194,Centroid,-1.0,54.57106,3,3,2.255619,2.255229,0.003125,threshold_snap,no,yes,yes
127,geometry:25836914057:centroid,geometry:25836914057,2,148,94,160,90,12.64911,2.819842,Centroid,-1.0,62.16912,4,4,2.253311,2.253299,0.003125,threshold_snap,no,yes,yes
128,geometry:25836914057:centroid,geometry:25836914057,2,148,94,160,90,12.64911,2.819842,Centroid,-1.0,62.16912,-4,-4,2.253311,2.253299,0.003125,threshold_snap,no,yes,yes
129,geometry:25836914057:centroid,geometry:25836914057,2,148,94,160,90,12.64911,2.819842,Centroid,-1.0,62.16912,-4,4,2.253311,2.253299,0.003125,threshold_snap,no,yes,yes
130,geometry:25836914057:centroid,geometry:25836914057,2,149,79,160,90,15.55635,-2.356194,Centroid,-1.0,56.08921,-3,-3,2.253308,2.253308,0.003125,threshold_snap,no,yes,yes
131,geometry:25836914057:centroid,geometry:25836914057,2,148,98,160,90,14.4222,2.55359,Centroid,-1.0,58.24946,-4,0,2.253308,2.253308,0.003125,threshold_snap,no,yes,yes
132,geometry:25836914057:centroid,geometry:25836914057,2,148,90,160,90,12.0,3.141593,Centroid,-1.0,66.09841,4,0,2.253307,2.253298,0.003125,threshold_snap,no,yes,yes
133,geometry:25836914057:centroid,geometry:25836914057,2,148,90,160,90,12.0,3.141593,Centroid,-1.0,66.09841,-4,0,2.253307,2.253298,0.003125,threshold_snap,no,yes,yes
134,geometry:25836914057:centroid,geometry:25836914057,2,160,110,160,90,20.0,1.570796,Centroid,-1.0,45.0,0,4,2.2533,2.252319,0.003125,threshold_snap,yes,yes,yes
135,geometry:25836914057:centroid,geometry:25836914057,2,152,82,160,90,11.31371,-2.356194,Centroid,-1.0,58.54913,-8,-8,2.253298,2.251343,0.003125,threshold_snap,no,yes,yes
136,geometry:25836914057:centroid,geometry:25836914057,2,152,82,160,90,11.31371,-2.356194,Centroid,-1.0,58.54913,8,8,2.253298,2.251343,0.003125,threshold_snap,no,yes,yes
137,geometry:25836914057:centroid,geometry:25836914057,2,148,86,160,90,12.64911,-2.819842,Centroid,-1.0,63.15061,4,-4,2.253298,2.253294,0.003125,threshold_snap,no,yes,yes
138,geometry:25836914057:centroid,geometry:25836914057,2,152,82,160,90,11.31371,-2.356194,Centroid,-1.0,58.54913,8,-8,2.253298,2.251343,0.003125,threshold_snap,no,yes,yes
