node_id,hit,collider_id,domain_id,area_px,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,mean_path_length,mean_step_count,mean_boundary_event_count
0,0,0,0,32512,157.957,87.957,0,0,319,179,10.025245,311.412894,0.0
1,1,25836914057,0,22144,161.5,91.5,64,28,259,155,8.334714,313.004335,0.0
2,1,25887245710,0,2912,161.5,91.5,148,40,175,143,8.043961,313.230769,0.0
3,1,25937577361,0,16,109.5,61.5,108,60,111,63,8.149994,314.0,0.0
4,1,25987909012,0,16,213.5,121.5,212,120,215,123,8.156373,313.0,0.0
