timestamp,step_length,traversal,cell_dir,effective_status,beauty_hash,beauty_png_count,beauty_exact_once,beauty_expected_pixels,beauty_pixels_written_once,beauty_pixels_unwritten,beauty_pixels_multi_written,traversal_expected_pixels,traversal_pixels_once,traversal_pixels_unwritten,traversal_pixels_multi_written,traversal_exact_once,changed_pixels_vs_row,band_pixels,band_percent,horizontal_band_score,vertical_band_score,max_horizontal_run_length,local_artifact_cluster_count,max_tile_local_run_length,corner_roi_required_precision,corner_roi_ownership_change_samples,corner_roi_collider_flip_samples,corner_roi_mean_max_risk,notes
2026-05-04T01:13:29Z,0.015,column,/home/bb/code/godot_xPRIMEray/output/tile_commit_traversal_comparison/20260504T010110Z/beauty/step_0.015/column,0,975ceca852f53841a5d78fc8dcef2ef3e552032aa958702c3bbfd2450f72c243,9,0,57600,30880,20224,6496,57600,57600,0,0,1,1739,11399,19.7899,0.235906,0.164107,160,245,16,,,,,godot_shutdown_abort_after_harness_success
2026-05-04T01:07:23Z,0.015,row,/home/bb/code/godot_xPRIMEray/output/tile_commit_traversal_comparison/20260504T010110Z/beauty/step_0.015/row,0,0b2b0617df5bf42930512c3dcb4164ac52caf75ef4d58fdee7634bad05c53f96,9,0,57600,30912,20928,5760,57600,57600,0,0,1,0,12075,20.9635,0.249897,0.164722,160,221,16,,,,,godot_shutdown_abort_after_harness_success
2026-05-04T01:19:35Z,0.015,tile,/home/bb/code/godot_xPRIMEray/output/tile_commit_traversal_comparison/20260504T010110Z/beauty/step_0.015/tile,0,9bf54f4c8ac8d05b910679abaa46cc39e846d97a4416cc3ece5cbd5c819d84ff,9,0,57600,30848,20640,6112,57600,57600,0,0,1,1667,12213,21.2031,0.252752,0.166448,160,245,16,,,,,godot_shutdown_abort_after_harness_success
