anchor_id,object_id,projected_tile,radial_offset_x,radial_offset_y,step_length,reference_step_length,sample_count,mean_decision_risk,max_decision_risk,match_rate,matched_count,monotonic_decay,minimum_step_satisfying_epsilon,persistent_mismatch_at_0.00625
geometry:25836914057:centroid,geometry:25836914057,2,4,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,4,0,0.00625,0.003125,1,2.246444,2.246444,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,4,0,0.0125,0.003125,1,2.247421,2.247421,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,4,0,0.015,0.003125,1,2.246249,2.246249,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,0,-4,0,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,0,-4,0,0.00625,0.003125,1,2.277683,2.277683,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,0,-4,0,0.0125,0.003125,1,2.278671,2.278671,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,0,-4,0,0.015,0.003125,1,2.279065,2.279065,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-2,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-2,0,0.00625,0.003125,1,2.273808,2.273808,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-2,0,0.0125,0.003125,1,2.274782,2.274782,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-2,0,0.015,0.003125,1,2.274391,2.274391,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-1,0,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-1,0,0.00625,0.003125,1,2.272802,2.272802,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-1,0,0.0125,0.003125,1,2.272812,2.272812,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,-1,0,0.015,0.003125,1,2.274369,2.274369,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-4,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-4,0.00625,0.003125,1,2.291346,2.291346,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-4,0.0125,0.003125,1,2.292324,2.292324,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-4,0.015,0.003125,1,2.293107,2.293107,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-2,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-2,0.00625,0.003125,1,2.278672,2.278672,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-2,0.0125,0.003125,1,2.278676,2.278676,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-2,0.015,0.003125,1,2.279068,2.279068,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-1,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-1,0.00625,0.003125,1,2.273776,2.273776,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-1,0.0125,0.003125,1,2.274756,2.274756,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,-1,0.015,0.003125,1,2.274372,2.274372,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,0,0.00625,0.003125,1,2.272816,2.272816,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,0,0.0125,0.003125,1,2.272815,2.272815,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,0,0.015,0.003125,1,2.27437,2.27437,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,1,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,1,0.00625,0.003125,1,2.273793,2.273793,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,1,0.0125,0.003125,1,2.274771,2.274771,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,1,0.015,0.003125,1,2.274383,2.274383,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,2,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,2,0.00625,0.003125,1,2.276721,2.276721,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,2,0.0125,0.003125,1,2.276723,2.276723,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,2,0.015,0.003125,1,2.276726,2.276726,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,4,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,4,0.00625,0.003125,1,2.28744,2.28744,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,4,0.0125,0.003125,1,2.288417,2.288417,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,0,4,0.015,0.003125,1,2.288416,2.288416,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,1,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,1,0,0.00625,0.003125,1,2.273793,2.273793,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,1,0,0.0125,0.003125,1,2.274771,2.274771,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,1,0,0.015,0.003125,1,2.274384,2.274384,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,2,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,2,0,0.00625,0.003125,1,2.274772,2.274772,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,2,0,0.0125,0.003125,1,2.274783,2.274783,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,2,0,0.015,0.003125,1,2.274395,2.274395,0,0,fail,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,4,0,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,4,0,0.00625,0.003125,1,2.279662,2.279662,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,4,0,0.0125,0.003125,1,2.28063,2.28063,0,0,pass,0.003125,yes
geometry:25937577361:centroid,geometry:25937577361,1,4,0,0.015,0.003125,1,2.28141,2.28141,0,0,pass,0.003125,yes
