edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
106,24,25,3,1.222085,1.2221,3,0,0.110769,0.110806,0.0,0.0,0.0,0.0
107,26,27,3,1.178804,1.178809,3,0,0.002565,0.002578,0.0,0.0,0.0,0.0
108,27,28,3,1.222019,1.22204,3,0,0.110605,0.110657,0.0,0.0,0.0,0.0
109,29,30,3,1.178798,1.178806,3,0,0.002551,0.002571,0.0,0.0,0.0,0.0
110,30,31,3,1.221955,1.221965,3,0,0.110443,0.110468,0.0,0.0,0.0,0.0
111,32,33,3,1.178798,1.178805,3,0,0.002551,0.002568,0.0,0.0,0.0,0.0
112,33,34,3,1.221906,1.221924,3,0,0.110322,0.110366,0.0,0.0,0.0,0.0
113,35,36,3,1.178802,1.178807,3,0,0.002561,0.002575,0.0,0.0,0.0,0.0
114,36,37,3,1.221871,1.221886,3,0,0.110234,0.110271,0.0,0.0,0.0,0.0
115,38,39,3,1.1788,1.178803,3,0,0.002556,0.002563,0.0,0.0,0.0,0.0
116,39,40,3,1.22184,1.221843,3,0,0.110158,0.110165,0.0,0.0,0.0,0.0
117,41,42,3,1.178803,1.178806,3,0,0.002565,0.002571,0.0,0.0,0.0,0.0
118,42,43,3,1.221825,1.221828,3,0,0.110119,0.110126,0.0,0.0,0.0,0.0
119,44,45,3,1.178799,1.178802,3,0,0.002555,0.002563,0.0,0.0,0.0,0.0
120,45,46,3,1.221812,1.221816,3,0,0.110086,0.110096,0.0,0.0,0.0,0.0
121,47,48,3,1.178799,1.178802,3,0,0.002555,0.002563,0.0,0.0,0.0,0.0
122,48,49,3,1.221813,1.221818,3,0,0.110089,0.110101,0.0,0.0,0.0,0.0
123,50,51,3,1.178804,1.178807,3,0,0.002566,0.002573,0.0,0.0,0.0,0.0
124,51,52,3,1.221829,1.221836,3,0,0.11013,0.110147,0.0,0.0,0.0,0.0
125,53,54,3,1.178801,1.178807,3,0,0.00256,0.002573,0.0,0.0,0.0,0.0
126,54,55,3,1.221848,1.22186,3,0,0.110176,0.110206,0.0,0.0,0.0,0.0
127,56,57,3,1.178805,1.178807,3,0,0.00257,0.002575,0.0,0.0,0.0,0.0
128,57,58,3,1.221883,1.221891,3,0,0.110264,0.110285,0.0,0.0,0.0,0.0
129,59,60,3,1.178802,1.178806,3,0,0.002561,0.002572,0.0,0.0,0.0,0.0
130,60,61,3,1.221921,1.221937,3,0,0.110359,0.110399,0.0,0.0,0.0,0.0
131,62,63,3,1.178798,1.178807,3,0,0.002552,0.002574,0.0,0.0,0.0,0.0
132,63,64,3,1.221969,1.221992,3,0,0.110479,0.110536,0.0,0.0,0.0,0.0
133,65,66,3,1.178804,1.178809,3,0,0.002566,0.002578,0.0,0.0,0.0,0.0
134,66,67,3,1.222036,1.222044,3,0,0.110646,0.110665,0.0,0.0,0.0,0.0
135,67,68,6,2.023472,2.029961,6,0,0.058681,0.074903,0.0,0.0,0.0,0.0
136,69,70,3,1.1788,1.178807,3,0,0.002557,0.002574,0.0,0.0,0.0,0.0
137,70,71,3,1.222103,1.222129,3,0,0.110815,0.11088,0.0,0.0,0.0,0.0
138,71,72,4,2.027733,2.029885,4,0,0.069332,0.074714,0.0,0.0,0.0,0.0
139,72,73,4,2.028495,2.033774,4,0,0.071238,0.084435,0.0,0.0,0.0,0.0
140,74,75,3,1.1788,1.178809,3,0,0.002557,0.002579,0.0,0.0,0.0,0.0
141,75,76,3,1.222184,1.222215,3,0,0.111017,0.111094,0.0,0.0,0.0,0.0
142,77,78,3,1.178799,1.178799,3,0,0.002554,0.002555,0.0,0.0,0.0,0.0
143,78,79,3,1.222274,1.222298,3,0,0.111241,0.111301,0.0,0.0,0.0,0.0
144,80,81,3,1.178801,1.178802,3,0,0.00256,0.002561,0.0,0.0,0.0,0.0
145,81,82,3,1.222377,1.222403,3,0,0.111498,0.111565,0.0,0.0,0.0,0.0
146,83,84,3,1.178804,1.178805,3,0,0.002565,0.002568,0.0,0.0,0.0,0.0
147,84,85,3,1.222489,1.222515,3,0,0.111779,0.111845,0.0,0.0,0.0,0.0
148,86,87,3,1.178796,1.178806,3,0,0.002547,0.002571,0.0,0.0,0.0,0.0
149,87,88,3,1.222601,1.222642,3,0,0.112061,0.112163,0.0,0.0,0.0,0.0
