frame_index,render_time,field_tick_index,phase,electron_count,atomic_preset,orbital_radius,curvature_strength,modulation_depth,hit_pixels,miss_pixels,budget_exhausted_pixels,mean_steps_per_pixel,max_steps_per_pixel,mean_density_sampled,max_density_sampled,mean_curvature_magnitude,max_curvature_magnitude
0,0.324,0,0,0,hydrogen,3.5,0.002,0,120,0,0,0,0,0,0,0,0
1,0.505,0,0,0,hydrogen,3.5,0.002,0,240,0,0,0,0,0,0,0,0
2,0.656,0,0,0,hydrogen,3.5,0.002,0,360,0,0,0,0,0,0,0,0
3,0.785,0,0,0,hydrogen,3.5,0.002,0,480,0,0,0,0,0,0,0,0
